username,user id,access hash,name,group,group id,status
deljoinbot,734284134,5063905188532419160,Auto Delete Join Message,Trader Hamza,1828397166,
realenes,1626969462,-1952503804380474644,Enes aka 1 Cent,Trader Hamza,1828397166,UserStatusLastMonth(by_me=False)
T00pcugolu,1323097436,-1929768240879787664,Taha,Trader Hamza,1828397166,UserStatusRecently(by_me=False)
dogukanakadou,1086764047,-5560071733610064877,DOU,Trader Hamza,1828397166,UserStatusRecently(by_me=False)
frkn161616,1383961367,-4605506388633288979,Furkan D.,Trader Hamza,1828397166,UserStatusRecently(by_me=False)
Hamzacoban,1042728352,6216846566236850265,Hamza aka hamzabox machine,Trader Hamza,1828397166,"UserStatusOffline(was_online=datetime.datetime(2024, 4, 28, 21, 14, 21, tzinfo=datetime.timezone.utc))"
